,true_score,fake_score,true-fake
0,0.034834,0.020676726,0.014157275
1,0.034834,0.020676726,0.014157275
2,0.034834,0.020676726,0.014157275
3,0.122977905,0.08938501,0.033592895
4,0.025794255,0.029958636,-0.004164381
5,0.020869754,0.013577526,0.007292228
6,0.1169025,0.07327507,0.043627433
7,0.010150495,0.007295821,0.0028546741
8,0.010150495,0.007295821,0.0028546741
9,0.023344817,0.01072017,0.012624647
10,0.035023734,0.027996443,0.0070272908
11,0.0093688555,0.005873731,0.0034951246
12,0.026148831,0.007425269,0.018723562
13,0.033785786,0.01961694,0.014168847
14,0.033785786,0.01961694,0.014168847
15,0.010096371,0.009502428,0.0005939435
16,0.015046885,0.0110889645,0.0039579207
17,0.017243255,0.02569279,-0.008449536
18,0.029344453,0.024988258,0.0043561943
19,0.021217523,0.015066529,0.0061509944
20,0.021217523,0.015066529,0.0061509944
21,0.021409236,0.02178989,-0.0003806539
22,0.02558457,0.025583684,8.8475645e-07
23,0.026686648,0.031218233,-0.0045315847
24,0.066331446,0.0492447,0.017086744
25,0.066331446,0.0492447,0.017086744
26,0.01108915,0.010523275,0.0005658753
27,0.012389341,0.013074407,-0.000685066
28,0.12262802,0.0057999934,0.116828024
29,0.017697401,0.015393749,0.0023036525
30,0.037298333,0.0067054466,0.030592887
31,0.037298333,0.0067054466,0.030592887
32,0.07261767,0.036849935,0.035767738
33,0.04116082,0.022093778,0.01906704
34,0.036859408,0.023602467,0.013256941
35,0.062192697,0.031425133,0.030767564
36,0.031625386,0.0069609806,0.024664406
37,0.014198159,0.0153776165,-0.0011794576
38,0.014198159,0.0153776165,-0.0011794576
39,0.11385662,0.06340437,0.050452255
40,0.015916841,0.024155721,-0.00823888
41,0.02781904,0.007619234,0.020199805
42,0.015067155,0.010386659,0.0046804957
43,0.015067155,0.010386659,0.0046804957
44,0.021524312,0.020304369,0.0012199432
45,0.028750416,0.01633197,0.012418445
46,0.03511844,0.025886284,0.009232154
47,0.016063815,0.012417932,0.003645883
48,0.014069817,0.010912264,0.0031575533
49,0.014069817,0.010912264,0.0031575533
50,0.021309959,0.015262209,0.00604775
51,0.02101201,0.01631312,0.0046988893
52,0.015769107,0.011302327,0.0044667805
53,0.0108654145,0.014414968,-0.0035495535
54,0.011371566,0.0104614915,0.00091007445
55,0.011371566,0.0104614915,0.00091007445
56,0.10880146,0.08994013,0.018861331
57,0.00953996,0.009752596,-0.00021263584
58,0.01380807,0.012255248,0.0015528221
59,0.11204952,0.08693098,0.025118537
60,0.11204952,0.08693098,0.025118537
61,0.06362998,0.04492219,0.018707786
62,0.11030083,0.07334423,0.0369566
63,0.02770903,0.036996122,-0.009287093
64,0.011197779,0.012200752,-0.001002973
65,0.015950933,0.012603079,0.0033478541
66,0.015950933,0.012603079,0.0033478541
67,0.013728224,0.010881239,0.0028469851
68,0.009259034,0.0068368586,0.0024221754
69,0.013462207,0.00803064,0.0054315673
70,0.00898204,0.009596663,-0.0006146226
71,0.06529675,0.038197596,0.027099151
72,0.06529675,0.038197596,0.027099151
73,0.016988477,0.012841796,0.004146681
74,0.032911196,0.035416674,-0.0025054775
75,0.06531077,0.051852662,0.013458107
76,0.016401585,0.014396126,0.0020054588
77,0.026883222,0.034552746,-0.0076695234
78,0.026883222,0.034552746,-0.0076695234
79,0.027427133,0.007940998,0.019486135
80,0.017446306,0.0069104335,0.010535872
81,0.034793515,0.022150107,0.012643408
82,0.034793515,0.022150107,0.012643408
83,0.031811725,0.02009684,0.011714885
84,0.011547459,0.011763297,-0.00021583773
85,0.020843582,0.020355977,0.0004876051
86,0.029182512,0.008419811,0.0207627
87,0.012893876,0.014260698,-0.001366822
88,0.012893876,0.014260698,-0.001366822
89,0.026608724,0.027362956,-0.0007542316
90,0.018814644,0.020094402,-0.0012797583
91,0.017042771,0.010929714,0.006113057
92,0.03530766,0.029646877,0.0056607835
93,0.018619776,0.02133034,-0.002710564
94,0.018619776,0.02133034,-0.002710564
95,0.017471347,0.024652403,-0.007181056
96,0.024142014,0.023578301,0.0005637128
97,0.029691229,0.026384179,0.00330705
98,0.011201342,0.0068545025,0.004346839
99,0.011201342,0.0068545025,0.004346839
100,0.013301372,0.0066097346,0.006691637
101,0.011387323,0.010918968,0.00046835467
102,0.037409432,0.03966782,-0.0022583865
103,0.02602355,0.024759868,0.0012636818
104,0.03359267,0.026771547,0.006821124
105,0.03359267,0.026771547,0.006821124
106,0.018567776,0.014489381,0.0040783957
107,0.030747805,0.0054161325,0.025331672
108,0.016232237,0.013800861,0.002431376
109,0.02181933,0.019240588,0.0025787428
110,0.02058702,0.021275165,-0.00068814494
111,0.02058702,0.021275165,-0.00068814494
112,0.029911702,0.03246993,-0.0025582258
113,0.027354809,0.00887171,0.018483099
114,0.037530903,0.018109983,0.01942092
115,0.11728843,0.09252969,0.024758741
116,0.11728843,0.09252969,0.024758741
117,0.016797544,0.015284583,0.0015129615
118,0.036785785,0.030191602,0.006594183
119,0.018852811,0.018620584,0.00023222715
120,0.013881783,0.007887354,0.005994429
121,0.016882574,0.014163125,0.0027194489
122,0.016882574,0.014163125,0.0027194489
123,0.03060236,0.03448217,-0.0038798098
124,0.03223777,0.043199763,-0.0109619945
125,0.009315653,0.007950102,0.0013655508
126,0.11367937,0.10218903,0.011490345
127,0.014873968,0.018803777,-0.0039298087
128,0.014873968,0.018803777,-0.0039298087
129,0.026750177,0.03485066,-0.008100484
130,0.036181558,0.04799732,-0.01181576
131,0.122278936,0.06374185,0.05853709
132,0.019269235,0.023146955,-0.0038777199
133,0.02092551,0.017221062,0.0037044492
134,0.02092551,0.017221062,0.0037044492
135,0.009996147,0.009236703,0.0007594442
136,0.107259,0.05168668,0.055572316
137,0.013125322,0.015221263,-0.0020959415
138,0.021550966,0.012585861,0.008965106
139,0.031401515,0.030372037,0.0010294784
140,0.031401515,0.030372037,0.0010294784
141,0.020147065,0.02117602,-0.001028955
142,0.06289955,0.04495513,0.017944422
143,0.034080405,0.02083528,0.013245124
144,0.029906746,0.02505091,0.004855836
145,0.012093637,0.01723248,-0.0051388424
146,0.012093637,0.01723248,-0.0051388424
147,0.019196063,0.015280247,0.0039158165
148,0.013126762,0.0112868,0.0018399619
149,0.021157505,0.011991642,0.009165863
150,0.07051463,0.03661024,0.03390439
151,0.0153694125,0.016872449,-0.0015030364
152,0.0153694125,0.016872449,-0.0015030364
153,0.017046127,0.012140647,0.004905481
154,0.027596673,0.008439504,0.01915717
155,0.01460374,0.017620387,-0.003016647
156,0.03378267,0.023132175,0.010650493
157,0.03378267,0.023132175,0.010650493
158,0.011060004,0.012065575,-0.0010055713
159,0.014614774,0.025103524,-0.01048875
160,0.0130998,0.008482903,0.0046168966
161,0.029096829,0.039064884,-0.009968055
162,0.02806535,0.008342191,0.019723158
163,0.02806535,0.008342191,0.019723158
164,0.013664704,0.0070951437,0.00656956
165,0.013864954,0.009632124,0.0042328304
166,0.024536612,0.02754205,-0.0030054394
167,0.021416385,0.014379339,0.0070370454
168,0.026081726,0.027103756,-0.0010220297
169,0.026081726,0.027103756,-0.0010220297
170,0.017737456,0.0143772485,0.0033602072
171,0.017384728,0.015254708,0.0021300204
172,0.010159153,0.0075972956,0.002561857
173,0.11224998,0.05661201,0.055637967
174,0.013918509,0.009151481,0.0047670277
175,0.013918509,0.009151481,0.0047670277
176,0.013678335,0.012116621,0.0015617134
177,0.018159522,0.022222584,-0.0040630624
178,0.011335646,0.010156751,0.0011788951
179,0.0138934115,0.009933611,0.0039598
180,0.016437052,0.013782558,0.0026544938
181,0.016437052,0.013782558,0.0026544938
182,0.013324053,0.01042759,0.0028964626
183,0.018469548,0.017751576,0.0007179715
184,0.011183591,0.012672198,-0.0014886074
185,0.066305414,0.060698327,0.005607087
186,0.066305414,0.060698327,0.005607087
187,0.11423464,0.0513281,0.06290654
188,0.010983175,0.010562552,0.00042062253
189,0.026719378,0.009336816,0.017382562
190,0.113266386,0.05695029,0.056316096
191,0.015355354,0.014404497,0.00095085707
192,0.015355354,0.014404497,0.00095085707
193,0.016753238,0.016552947,0.00020029023
194,0.015860505,0.015338262,0.0005222438
195,0.12142054,0.103984,0.017436542
196,0.014054958,0.0077765295,0.0062784282
197,0.027172435,0.02703379,0.00013864599
198,0.027172435,0.02703379,0.00013864599
199,0.011183591,0.012672198,-0.0014886074
200,0.016205162,0.015643556,0.00056160614
201,0.021556485,0.020188035,0.00136845
202,0.009370714,0.00602236,0.0033483543
203,0.06329678,0.07021542,-0.006918639
204,0.06329678,0.07021542,-0.006918639
205,0.033907644,0.02913981,0.004767835
206,0.020072706,0.019859575,0.00021313131
207,0.028977837,0.025994219,0.0029836185
208,0.035022996,0.008732929,0.026290067
209,0.017760398,0.013148005,0.0046123927
210,0.017760398,0.013148005,0.0046123927
211,0.035556562,0.041871317,-0.0063147545
212,0.10759361,0.060429048,0.047164563
213,0.028456317,0.023769172,0.0046871454
214,0.016577467,0.01670105,-0.00012358278
215,0.032850616,0.035995062,-0.0031444468
216,0.032850616,0.035995062,-0.0031444468
217,0.012283775,0.014013306,-0.0017295312
218,0.06574305,0.048355058,0.017387994
219,0.014131076,0.012745749,0.0013853265
220,0.011382464,0.013565742,-0.002183278
221,0.029784739,0.012759485,0.017025255
222,0.029784739,0.012759485,0.017025255
223,0.11443378,0.06954867,0.044885114
224,0.02944526,0.006034882,0.02341038
225,0.02431352,0.017662263,0.006651258
226,0.06387747,0.073814176,-0.009936705
227,0.016886197,0.01953531,-0.0026491135
228,0.016886197,0.01953531,-0.0026491135
229,0.019327749,0.020004867,-0.0006771181
230,0.024654996,0.010476617,0.0141783785
231,0.05915979,0.034192227,0.024967562
232,0.028724486,0.036318727,-0.007594241
233,0.06146771,0.049195837,0.012271874
234,0.06146771,0.049195837,0.012271874
235,0.13007411,0.08718949,0.042884625
236,0.010492816,0.01347858,-0.0029857643
237,0.035464652,0.026485568,0.008979084
238,0.0110369725,0.011958717,-0.00092174485
239,0.0110369725,0.011958717,-0.00092174485
240,0.016183907,0.009829049,0.006354858
241,0.009655153,0.008004639,0.0016505141
242,0.018421222,0.029870268,-0.011449046
243,0.024063326,0.030928958,-0.006865632
244,0.009392029,0.006325772,0.0030662566
245,0.009392029,0.006325772,0.0030662566
246,0.01380789,0.013587896,0.00021999422
247,0.021224089,0.012890096,0.008333993
248,0.11627269,0.06869737,0.047575317
249,0.014287985,0.017079022,-0.0027910369
250,0.030183077,0.010103451,0.020079626
251,0.030183077,0.010103451,0.020079626
252,0.030097747,0.013812099,0.016285649
253,0.019092178,0.028213868,-0.00912169
254,0.01518178,0.0152803855,-9.860564e-05
255,0.011275907,0.008460831,0.0028150762
256,0.066765554,0.0036239694,0.063141584
257,0.066765554,0.0036239694,0.063141584
258,0.036417875,0.032231946,0.00418593
259,0.017206974,0.011642633,0.0055643413
260,0.026219614,0.022320336,0.0038992781
261,0.012723373,0.015344024,-0.0026206505
262,0.038379066,0.05334607,-0.014967006
263,0.038379066,0.05334607,-0.014967006
264,0.013738642,0.010946607,0.0027920352
265,0.025112491,0.023709891,0.0014025997
266,0.022513349,0.013064611,0.009448738
267,0.018024083,0.016041303,0.0019827802
268,0.018024083,0.016041303,0.0019827802
269,0.017512165,0.017052876,0.00045928918
270,0.013425475,0.010359959,0.0030655162
271,0.06388515,0.07633821,-0.012453057
272,0.032785367,0.021783829,0.0110015385
273,0.011508419,0.014105265,-0.0025968459
274,0.011508419,0.014105265,-0.0025968459
275,0.062313285,0.033203613,0.029109672
276,0.01201594,0.01607114,-0.004055201
277,0.029999526,0.033056185,-0.0030566584
278,0.026532125,0.024781968,0.0017501563
279,0.014565567,0.016401984,-0.0018364172
280,0.014565567,0.016401984,-0.0018364172
281,0.02153752,0.017861728,0.0036757924
282,0.020480627,0.012267624,0.008213003
283,0.010539249,0.013159194,-0.0026199454
284,0.01147901,0.01194099,-0.00046197977
285,0.039820205,0.041749407,-0.0019292012
286,0.039820205,0.041749407,-0.0019292012
287,0.013968795,0.011896092,0.0020727022
288,0.020930251,0.014582022,0.006348229
289,0.027783334,0.031304616,-0.0035212822
290,0.020775681,0.017536417,0.0032392647
291,0.009265006,0.008106433,0.0011585727
292,0.009265006,0.008106433,0.0011585727
293,0.015089694,0.012468491,0.0026212037
294,0.028966585,0.007747006,0.02121958
295,0.06544507,0.04268849,0.022756584
296,0.0390744,0.031739853,0.0073345453
297,0.0390744,0.031739853,0.0073345453
298,0.037693992,0.010705636,0.026988357
299,0.016092312,0.015900714,0.00019159727
300,0.013453479,0.00872882,0.004724659
301,0.036104336,0.027482538,0.008621799
302,0.029193388,0.014983243,0.014210145
303,0.029193388,0.014983243,0.014210145
304,0.028000306,0.028618474,-0.0006181672
305,0.015238351,0.022316048,-0.0070776967
306,0.027060298,0.019609747,0.007450551
307,0.022526938,0.02064348,0.0018834583
308,0.028646408,0.012591125,0.016055282
309,0.028646408,0.012591125,0.016055282
310,0.017711034,0.015568974,0.0021420596
311,0.06234332,0.058705397,0.0036379248
312,0.009107366,0.008911976,0.00019539054
313,0.021002473,0.013515272,0.007487201
314,0.021002473,0.013515272,0.007487201
315,0.030779945,0.024443377,0.006336568
316,0.036522027,0.034168325,0.0023537017
317,0.013352113,0.008414647,0.0049374662
318,0.0140796825,0.019606547,-0.005526865
319,0.009411804,0.0070228963,0.002388908
320,0.009411804,0.0070228963,0.002388908
321,0.017125856,0.014997217,0.0021286393
322,0.06390137,0.0645372,-0.0006358251
323,0.013937817,0.010103158,0.0038346592
324,0.030748302,0.025816489,0.004931813
325,0.01337999,0.010743095,0.0026368955
326,0.01337999,0.010743095,0.0026368955
327,0.010598105,0.012956941,-0.0023588352
328,0.014835519,0.025998594,-0.011163075
329,0.02085987,0.015657796,0.0052020736
330,0.0137555925,0.00876028,0.0049953125
331,0.014301829,0.019873478,-0.0055716485
332,0.014301829,0.019873478,-0.0055716485
333,0.11908316,0.0947073,0.024375856
334,0.01341294,0.011501348,0.0019115927
335,0.01152246,0.010409411,0.0011130488
336,0.029641405,0.022052146,0.0075892583
337,0.0131946625,0.015147613,-0.0019529508
338,0.0131946625,0.015147613,-0.0019529508
339,0.016580606,0.018590208,-0.0020096023
340,0.022057017,0.02142528,0.0006317366
341,0.00935255,0.007579305,0.0017732447
342,0.014473823,0.018504266,-0.004030443
343,0.016642476,0.028343648,-0.011701172
344,0.016642476,0.028343648,-0.011701172
345,0.011044765,0.0076549985,0.0033897664
346,0.031695824,0.010918972,0.020776853
347,0.016383676,0.018742725,-0.0023590494
348,0.040155523,0.008122964,0.032032557
349,0.013467627,0.01429092,-0.0008232938
350,0.013467627,0.01429092,-0.0008232938
351,0.03889371,0.012481952,0.026411759
352,0.058830347,0.03497145,0.023858897
353,0.021524731,0.013291196,0.008233535
354,0.017964123,0.016741563,0.0012225602
355,0.028694237,0.0072752964,0.02141894
356,0.028694237,0.0072752964,0.02141894
357,0.013161911,0.00809833,0.0050635803
358,0.010903972,0.0084445635,0.0024594087
359,0.01605025,0.024005463,-0.007955214
360,0.010078848,0.010091448,-1.2599863e-05
361,0.028694237,0.006866013,0.021828223
362,0.028694237,0.006866013,0.021828223
363,0.012174508,0.009456354,0.0027181534
364,0.018798986,0.022117335,-0.003318349
365,0.0136362,0.008438477,0.0051977225
366,0.013928833,0.0077884416,0.006140392
367,0.011076941,0.019818885,-0.008741944
368,0.011076941,0.019818885,-0.008741944
369,0.008908216,0.011411952,-0.002503736
370,0.027099516,0.022312365,0.004787151
371,0.02488973,0.03398096,-0.009091228
372,0.037533846,0.006263837,0.03127001
373,0.009524305,0.0061897244,0.003334581
374,0.009524305,0.0061897244,0.003334581
375,0.038117286,0.023012301,0.015104985
376,0.012406142,0.016218742,-0.0038126
377,0.035477996,0.023643224,0.011834772
378,0.020765271,0.018859629,0.0019056424
379,0.02542988,0.02151507,0.0039148107
380,0.02542988,0.02151507,0.0039148107
381,0.01564128,0.01892791,-0.00328663
382,0.02558898,0.024559267,0.0010297131
383,0.06764993,0.046813183,0.020836748
384,0.02274747,0.009396075,0.013351395
385,0.068950035,0.062257044,0.0066929907
386,0.068950035,0.062257044,0.0066929907
387,0.032258827,0.017466448,0.014792379
388,0.06446922,0.050394855,0.014074363
389,0.06192307,0.031823486,0.030099586
390,0.014402704,0.013000812,0.0014018919
391,0.032578085,0.01791111,0.014666975
392,0.032578085,0.01791111,0.014666975
393,0.0135632465,0.0103474725,0.003215774
394,0.012996908,0.011348878,0.0016480302
395,0.030313058,0.03097459,-0.00066153146
396,0.066170566,0.02308868,0.043081887
397,0.027805349,0.034946155,-0.007140806
398,0.027805349,0.034946155,-0.007140806
399,0.021866579,0.011954442,0.009912137
400,0.109877795,0.053748418,0.056129377
401,0.010973528,0.012444998,-0.0014714701
402,0.0135632465,0.0103474725,0.003215774
403,0.0135632465,0.0103474725,0.003215774
404,0.028407356,0.030068891,-0.0016615354
405,0.03192355,0.030857926,0.0010656249
406,0.032483093,0.04367739,-0.011194296
407,0.034032673,0.022794249,0.011238424
408,0.028302085,0.032907054,-0.004604969
409,0.028302085,0.032907054,-0.004604969
410,0.013124803,0.014015672,-0.0008908687
411,0.01765939,0.023924695,-0.006265305
412,0.01144114,0.011348187,9.295344e-05
413,0.013970321,0.010552268,0.0034180535
414,0.016096096,0.015335284,0.0007608123
415,0.016096096,0.015335284,0.0007608123
416,0.06346968,0.04620185,0.017267827
417,0.013859646,0.011008485,0.0028511612
418,0.020501176,0.015684426,0.00481675
419,0.01537637,0.012204122,0.0031722486
420,0.02684572,0.018418657,0.008427063
421,0.02684572,0.018418657,0.008427063
422,0.06603517,0.025768632,0.040266536
423,0.029597761,0.017488992,0.012108769
424,0.01789709,0.01675402,0.0011430699
425,0.020550411,0.014485189,0.0060652224
426,0.014181851,0.018511286,-0.0043294346
427,0.014181851,0.018511286,-0.0043294346
428,0.017992524,0.012690939,0.0053015854
429,0.028717337,0.035176616,-0.006459279
430,0.01442117,0.013755469,0.000665701
431,0.03148949,0.022110581,0.00937891
432,0.012173992,0.010494682,0.0016793096
433,0.012173992,0.010494682,0.0016793096
434,0.02932466,0.03959488,-0.010270221
435,0.11274749,0.07888658,0.033860907
436,0.021994162,0.020813916,0.0011802465
437,0.030735066,0.021969123,0.008765943
438,0.06366755,0.047810514,0.015857037
439,0.06366755,0.047810514,0.015857037
440,0.009710188,0.009590615,0.00011957344
441,0.009403927,0.009570487,-0.00016655959
442,0.01488928,0.01826225,-0.00337297
443,0.022510031,0.01005888,0.012451151
444,0.022510031,0.01005888,0.012451151
445,0.028127821,0.021018669,0.007109152
446,0.03576252,0.031328525,0.0044339933
447,0.024272436,0.019821076,0.0044513606
448,0.072389536,0.031444605,0.04094493
449,0.013926357,0.0075671608,0.0063591963
450,0.12261242,0.0062670372,0.116345376
451,0.12261242,0.0062670372,0.116345376
452,0.010370941,0.010091275,0.00027966592
453,0.03576252,0.029268242,0.006494276
454,0.014230388,0.013022479,0.0012079095
455,0.010043467,0.009770143,0.00027332455
456,0.010043467,0.009770143,0.00027332455
457,0.009508931,0.006666189,0.002842742
458,0.11664047,0.06797056,0.048669912
459,0.009485858,0.006390375,0.0030954825
460,0.013778275,0.011793256,0.001985019
461,0.012054614,0.012314429,-0.00025981478
462,0.012054614,0.012314429,-0.00025981478
463,0.11517075,0.064933605,0.05023714
464,0.016036073,0.012319127,0.0037169456
465,0.025761466,0.029406255,-0.0036447886
466,0.009319717,0.009363094,-4.337728e-05
467,0.03075823,0.011819382,0.018938847
468,0.03075823,0.011819382,0.018938847
469,0.023841053,0.010226131,0.013614922
470,0.026774775,0.012675021,0.014099754
471,0.027116233,0.027429854,-0.000313621
472,0.011746942,0.011164846,0.00058209617
473,0.009113851,0.010052312,-0.00093846116
474,0.009113851,0.010052312,-0.00093846116
475,0.011305588,0.017057577,-0.005751989
476,0.06128975,0.02844046,0.03284929
477,0.024272436,0.019821076,0.0044513606
478,0.028127821,0.021018669,0.007109152
479,0.034714308,0.02437223,0.010342078
480,0.034714308,0.02437223,0.010342078
481,0.02017776,0.02288477,-0.0027070101
482,0.035185333,0.030183053,0.0050022807
483,0.034982864,0.027046736,0.0079361275
484,0.011799566,0.016181516,-0.004381949
485,0.010284891,0.010296241,-1.1350028e-05
486,0.010284891,0.010296241,-1.1350028e-05
487,0.013450902,0.013708932,-0.00025803037
488,0.035320137,0.029034095,0.006286042
489,0.016123088,0.018474964,-0.0023518763
490,0.021598324,0.01824506,0.0033532642
491,0.021194482,0.0142442845,0.0069501977
492,0.021194482,0.0142442845,0.0069501977
493,0.03154584,0.036411475,-0.004865635
494,0.018772697,0.022998072,-0.004225375
495,0.021695176,0.012040453,0.009654723
496,0.017680362,0.02048829,-0.0028079282
497,0.016079878,0.008512869,0.00756701
498,0.016079878,0.008512869,0.00756701
499,0.013658905,0.009873189,0.0037857164
